Lokacija,lang,long,atd
"SLAKE 1, 3254 PODČETRTEK",46.15125875,15.597793100991971,0.0
"STRUNJAN 148, 6320 PORTOROŽ - PORTOROSE",45.521667,13.5996505,0.0
"VOJKOVA ULICA 33, 5271 VIPAVA",45.84118505,13.961850261029412,0.0
"ŠUBIČEVA ULICA 2, 1000 LJUBLJANA",46.0505675,14.50243800596229,0.0
"RIBIŠKA ULICA 11, 2000 MARIBOR",46.557260150000005,15.639982149707599,0.0
"MISLEJEVA ULICA 3, 1000 LJUBLJANA",46.06481905,14.523816789261453,0.0
"REŠKA ULICA 11, 1000 LJUBLJANA",46.0377997,14.4721333,0.0
"ULICA XIV. DIVIZIJE 4, 3000 CELJE",46.2284729,15.2674237,0.0
"STARI TRG 2A, 8230 MOKRONOG",45.9434934,15.1453408,0.0
"ŠTIHOVA ULICA 13, 1000 LJUBLJANA",46.061980750000004,14.514542192824724,0.0
"PERUZZIJEVA ULICA 105, 1000 LJUBLJANA",46.021478200000004,14.523322105631872,0.0
"LOŽNICA PRI ŽALCU 35I, 3310 ŽALEC",46.2626105,15.1776625,0.0
"PTUJSKA ULICA 21, 1000 LJUBLJANA",46.0697934,14.514875499999999,0.0
