,Lokacija,lat,lon
265,"CIRKOVCE 47, 2326 CIRKOVCE",46.39473385,15.722738947741057
266,"ZBURE 36A, 8220 ŠMARJEŠKE TOPLICE",45.9026719,15.2485648
267,"LJUBLJANSKA CESTA 29, 1292 IG",45.9586954,14.5274708
268,"ROSTOHARJEVA ULICA 62A, 8270 KRŠKO",45.95059795,15.47631242971181
269,"CESTA 4. MAJA 43, 1380 CERKNICA",45.7932491,14.3637466
270,"VRAZOVA ULICA 5, 2270 ORMOŽ",46.4085759,16.1503146
271,"STRANJE 7B, 3241 PODPLAT",46.22551485,15.56418033847773
272,"CESTA NA KRKO 4, 1290 GROSUPLJE",45.9537432,14.6619044
273,"GROBLJE PRI PREKOPI 15, 8310 ŠENTJERNEJ",45.8529268,15.3624685
274,"CIRIL-METODOVA ULICA 4, 2000 MARIBOR",46.55718955,15.626280873213268
275,"SLOVENJA VAS 30, 2288 HAJDINA",46.4378994,15.8123012
276,"POD HRUŠEVCO 44A, 1360 VRHNIKA",45.9739821,14.2934926
277,"KAJUHOVA ULICA 32A, 1000 LJUBLJANA",46.0604713,14.539097066298371
278,"ORMOŠKA CESTA 69, 2250 PTUJ",46.4135594,15.894394599999998
279,"LOPATA 24H, 3000 CELJE",46.26571365,15.23280902515235
280,"IDRSKO 56, 5222 KOBARID",46.2335092,13.5897842
281,"LIPOVCI 138, 9231 BELTINCI",46.625744100000006,16.227235449036073
282,"ŽANOVA ULICA 3, 4000 KRANJ",46.24599025,14.363805274453387
283,"MLADINSKA ULICA 21, 2314 ZGORNJA POLSKAVA",46.4283721,15.6093233
284,"LJUBLJANSKA CESTA 123, 1230 DOMŽALE",46.1399153,14.5940993
285,"KOVAČEVA ULICA 13, 1380 CERKNICA",45.7958482,14.3582103
286,"GOMILSKO 17, 3303 GOMILSKO",46.246834750000005,15.04695075185517
287,"KLAVČIČEVA ULICA 1, 1241 KAMNIK",46.2121705,14.5988131
288,"DOLINSKA CESTA 1D, 6000 KOPER - CAPODISTRIA",45.5304835,13.7299953
289,"ZELJARSKA ULICA 3, 1000 LJUBLJANA",46.04231645,14.4974025
290,"BOGOJINA 163D, 9222 BOGOJINA",46.67863035,16.282173246957736
291,"ZAPUŽE 11, 4275 BEGUNJE NA GORENJSKEM",46.3751643,14.2039596
292,"BRNČIČEVA ULICA 5D, 1231 LJUBLJANA - ČRNUČE",46.0992769,14.5479256
293,"OBRTNA ULICA 13, 6310 IZOLA - ISOLA",45.5275242,13.667400569374502
294,"OBRTNIŠKA CESTA 1, 1420 TRBOVLJE",46.15635565,15.053194899999998
295,"CESTA PREKOMORSKIH BRIGAD 62A, 5290 ŠEMPETER PRI GORICI",45.9329445,13.6393909
296,"SLAKE 1, 3254 PODČETRTEK",46.15125875,15.597793100991971
297,"STRUNJAN 148, 6320 PORTOROŽ - PORTOROSE",45.521667,13.5996505
298,"VOJKOVA ULICA 33, 5271 VIPAVA",45.84118505,13.961850261029412
299,"ŠUBIČEVA ULICA 2, 1000 LJUBLJANA",46.0505675,14.50243800596229
300,"RIBIŠKA ULICA 11, 2000 MARIBOR",46.557260150000005,15.6399821497076
301,"MISLEJEVA ULICA 3, 1000 LJUBLJANA",46.06481905,14.523816789261453
302,"REŠKA ULICA 11, 1000 LJUBLJANA",46.0377997,14.4721333
303,"ULICA XIV. DIVIZIJE 4, 3000 CELJE",46.2284729,15.2674237
304,"STARI TRG 2A, 8230 MOKRONOG",45.9434934,15.1453408
305,"ŠTIHOVA ULICA 13, 1000 LJUBLJANA",46.06198075,14.514542192824724
306,"PERUZZIJEVA ULICA 105, 1000 LJUBLJANA",46.0214782,14.523322105631872
307,"LOŽNICA PRI ŽALCU 35I, 3310 ŽALEC",46.2626105,15.1776625
308,"PTUJSKA ULICA 21, 1000 LJUBLJANA",46.0697934,14.5148755
309,"TOPOLŠICA 81A, 3326 TOPOLŠICA",46.40132,15.0194797
310,"VIDEM 37, 1312 VIDEM - DOBREPOLJE",45.8500637,14.6972495
311,"VILHARJEVA CESTA 33C, 6250 ILIRSKA BISTRICA",45.57533225,14.232246400000005
312,"KAMENCE 10, 3250 ROGAŠKA SLATINA",46.2041456,15.6249871
313,"CESTA MAJDE ŠILC 1, 1317 SODRAŽICA",45.7609646,14.6343612
314,"TRG REVOLUCIJE 4, 2000 MARIBOR",46.5537495,15.6464115
315,"MARKOVCI 33D, 2281 MARKOVCI",46.3944576,15.9373255
316,"LANGUSOVA ULICA 15, 2250 PTUJ",46.4317018,15.8836061
317,"REPNJE 29, 1217 VODICE",46.1671492,14.4869086
318,"RIMSKA CESTA 80, 3311 ŠEMPETER V SAVINJSKI DOLINI",46.2575884,15.1152571
319,"ČOLNIKOV TRG 3, 2234 BENEDIKT",46.60679315,15.889705404623925
320,"PAMEČE 104, 2380 SLOVENJ GRADEC",46.5331174,15.072624
321,"MESTNI VRH 20, 2250 PTUJ",46.4535791,15.8505197
322,"ULICA FRANKOLOVSKIH ŽRTEV 44, 3000 CELJE",46.2518754,15.2756458
323,"PRVENCI 5B, 2281 MARKOVCI",46.4074264,15.9566968
324,"KOJSKO 15, 5211 KOJSKO",46.0040459,13.5755579
